RTS,TK,rep,Lat,Long,age,ageCat,soil,Pcover,depth11,pH11sum,BD11sum,kgm2Water11sum,EOC11sum,ETN11sum,EON11sum,NH411sum,NO311sum,PO411sum,MBC11sum,MBN11sum,MBP11sum,P11,N11,C11,Nodules11sum,LegumeCover11sum,TN resin fall10,TNresin11,GrossMin11sum,GrossCons11,NetNH4minSum11,NetPminSum11
Iminus,TK0,R4,68.55308,149.57607,,Dundisturbed,Organic,1,9.5,5.16,0.26,38.81,8971.71,1440.51,933.68,468.27,38.56,201.71,14184.68,2034.88,168.2,26.37,466.05,9054.5,,0,157.6581954,,1022.7,589.61,,0
Iminus,TK0,R5,68.55322,149.5765,,Dundisturbed,Organic,1,9,5.08,0.23,50.86,8992.66,1178.7,977.68,133.99,67.02,367.42,14055.78,1734.49,0,,465.52,8482.3,,0,,,953.1,70.87,,0
Iminus,TK0,R6,68.5533,149.5767,,Dundisturbed,Organic,1,10,4.91,0.12,42.56,7440.73,1270.64,828.11,325.08,117.46,707.59,12813.76,1682.51,177.28,,253.23,4715.67,,0,197.1250624,,1021.1,1035.79,,0
NE14,TK1,R2,68.67878,149.62306,5,Arecent,Mineral,1,10,8.59,1.11,7.74,1924.28,161.94,141,8.32,12.62,92.85,0,0,26.79,,51.41,2142.35,,,79.82630528,0,12.97,2.62,-0.203,1.178834528
NE14,TK1,R3,68.67873,149.62302,5,Arecent,Mineral,1,10,8.51,0.91,9.71,2028.48,89.83,84.27,0,7.21,100.71,1457.44,0,0,,40.88,1410.09,,,874.8444996,0,0,0,1.7,5.402907238
NE14,TK1,R4,68.67872,149.6227,5,Arecent,Mineral,1,10,8.52,1.07,13.69,2027.01,186.97,167.87,8.98,10.12,116.26,4351.04,0,0,73.53,89.33,2105.01,,,0,,0,0,,0
NE14,TK1,R5,68.67868,149.62248,5,Arecent,Mineral,1,10,8.2,1.32,18.59,1402.8,156.95,141.17,8.02,7.76,97.48,0,0,0,79.06,85.74,2442.01,,,82.39399569,113.15,0,0,0.29,0.457681839
NE14,TK1,R6,68.6786,149.62228,5,Arecent,Mineral,1,10,8.37,1.33,29.43,1815.15,206.71,177.62,21.53,7.57,83.11,0,0,0,84.81,78.14,2527.84,,,0,0,6.86,0,1.22,-0.005657727
Itkillik,TK2,R2,68.66683,149.81808,8,Arecent,Mineral,1,10,7.98,1.18,16.12,1626.37,170.17,167.46,0,5.6,90.98,7077.74,296.43,46.32,,77.35,2012.31,,,0,0,0,85.87,1.444,2.453089613
Itkillik,TK2,R3,68.66693,149.81816,8,Arecent,Mineral,1,10,5.33,1.3,23.77,1550.81,58.17,58.58,0,1.13,90.66,5397.61,361.2,0,,86.96,1927.09,,,0,0,65.15,67.7,-0.493,-0.762639157
Itkillik,TK2,R4,68.667,149.81825,8,Arecent,Mineral,1,10,8.81,1.27,19.77,2090.86,166.43,151.24,9.77,5.42,149.15,3697.12,199.3,0,67.14,82.11,2023.48,,,0,0,61.32,35.31,0.287,-0.117610026
Itkillik,TK2,R5,68.6671,149.81829,8,Arecent,Mineral,1,10,8.31,1.37,23.68,3883.97,277.33,252.25,20.76,4.33,164.58,7851.6,421.88,0,95.71,77.57,2322.76,,,0,0,0,11.38,-0.875,-0.793955496
Itkillik,TK2,R6,68.66717,149.81834,8,Arecent,Mineral,1,10,8.64,1.36,23.03,918.76,317.09,297.41,12.44,7.24,100.73,12907.45,361.93,95.14,66.78,96.2,2042.36,,,0,0,188.71,232.2,-0.388,0.620144142
Iminus,TK1,R1,68.55333,149.57365,8,Arecent,Mineral,1,10,5.84,0.57,16.48,3829.2,521.75,381.08,120.98,19.69,117.72,7003.24,535.77,9.64,,117.49,1999.88,,,,,0,27.55,2.1,1.529172581
Iminus,TK1,R2,68.55341,149.57391,8,Arecent,Mineral,1,10,5.22,0.33,32.77,7186.19,1017.3,818.93,157.57,40.8,251.52,11253.18,1217.22,115.51,,268.12,4475.91,,,10.82327145,573,112.98,87.4,29.07,
Iminus,TK1,R3,68.5535,149.57407,8,Arecent,Mineral,1,10,7.06,1.24,38.89,4753.88,649.94,428.43,179.43,42.07,163.24,554.94,447.88,18.61,87.05,168.42,2323.51,,,0,0,0,163.65,1.1,10.45053055
Iminus,TK1,R4,68.55358,149.57422,8,Arecent,Mineral,1,10,7.55,1.21,15.61,3074.42,327.78,285.07,22.03,20.67,134.36,5054.49,432.83,6.64,64.3,222.4,3303.86,,,0,128.3,85.58,77.17,5.01,0.677975793
Iminus,TK1,R6,68.55358,149.57446,8,Arecent,Mineral,1,10,6.95,1.27,15.02,2397.67,308.67,289.06,13.37,6.24,103.58,6339.11,686.95,51.83,63.41,117.08,1916.16,,,0,0,153.22,84.48,-0.24,0.36151657
Iminus,TK2,R2,68.55373,149.57495,16,Bshrub,Mineral,1,10,8.44,1.07,29.15,3057.97,430.02,243.49,165.68,20.86,155.84,16417.63,1428.13,161.77,,176.76,2596.12,,,0,0,38.84,80.24,0.02,1.117999378
Iminus,TK2,R3,68.55382,149.57504,16,Bshrub,Mineral,1,10,7.3,0.98,20.31,2053.62,313.49,199.28,94.53,19.68,101.94,10033.85,837.03,59.78,56.56,73.02,1216.61,,,0,0,0,108.72,0.4,
Iminus,TK2,R4,68.55383,149.57526,16,Bshrub,Mineral,1,10,7.31,1.14,27.23,3137.1,303.13,245.23,52.66,5.24,168.58,18918.89,2223.9,17.36,59.06,151.2,2780.86,,,,0,67.43,76.94,13.54,0.323326232
Iminus,TK2,R5,68.55393,149.57536,16,Bshrub,Mineral,1,10,6.89,1.02,23.32,6045.59,799.41,603.39,195.15,0.87,296.55,29982.25,3178.39,297.37,60.31,237.28,3643.19,,,4.788398001,0,222.26,169.67,3.27,-1.109610403
Iminus,TK2,R6,68.554,149.57555,16,Bshrub,Mineral,1,10,6.46,0.78,31.9,6400.25,908.85,686.35,219.57,2.93,291.48,10685.66,1170.32,13.07,,203.79,3671.16,,,15.82809939,0,68.14,62.9,1.37,-0.50872062
Iminus,TK3,R2,68.55452,149.57574,25,Bshrub,Mineral,1,10,6.34,0.58,31.21,9276.86,1556.65,968.75,571.91,16,225.35,16614.38,1385.75,77.92,25.49,298.21,3956.44,,,0,196.704,75.04,187.69,3.528,2.044651238
Iminus,TK3,R3,68.55458,149.57576,25,Bshrub,Mineral,1,10,5.58,0.84,45.74,5252.9,779.01,552.87,190.57,35.58,316.86,10705.05,1335.79,0,,436.93,5832.03,,,0,0,136.83,227.08,0.811,
Iminus,TK3,R4,68.5546,149.57588,25,Bshrub,Mineral,1,10,6.65,0.79,28.33,4886.38,561.6,372.96,181.08,7.55,181.54,13921.61,1253.87,78.42,38.58,241.23,3399.8,,,,0,252.43,191.14,1.605,3.623679658
Iminus,TK3,R5,68.55468,149.57599,25,Bshrub,Mineral,1,10,7.02,0.89,18.83,4054.26,500.25,317.97,124.35,57.93,89.35,2944.02,382.3,54.89,,64.22,847.55,,,0,,45.9,67.52,1.946,2.558926527
Iminus,TK3,R6,68.55472,149.57607,25,Bshrub,Mineral,1,10,6.55,0.77,29.12,7413.02,1096.43,597.5,417.08,81.85,307.66,22138.5,2355.28,322.4,46.79,284.43,4362.48,,,0,0,193.73,235.8,0.73,0.941228755
NE14,TK2,R2,68.6794,149.62553,44,Bshrub,Mineral,1,10,8.38,1.26,21.03,3173.21,172.33,135.78,24.91,11.63,50.01,0,0,0,75.64,71.48,1989.65,,,0,0,77.88,62.33,-0.08,2.092225957
NE14,TK2,R3,68.67947,149.62576,44,Bshrub,Mineral,1,10,8.27,1.47,15.64,4704.13,478.89,314.52,155.02,9.35,298.81,4645.24,460.51,24.42,,106.73,2282.71,,,128.5800014,0,55.93,19.84,0.59,-2.003311819
NE14,TK2,R4,68.67945,149.62596,44,Bshrub,Mineral,1,10,7.7,1.22,25.95,1970.09,146.09,108.83,31.11,6.15,117.2,0,113.55,17.63,,154.7,2736.92,,,0,0,88.93,48.03,1.967,2.11179918
NE14,TK2,R5,68.67948,149.62611,44,Bshrub,Mineral,1,10,8.3,1.37,30.41,2297.19,227.39,166.19,54.98,6.23,143.44,4778.95,336.86,0,85.64,221.96,3783.57,,,0,0,72.95,30.23,2.78,8.632082852
NE14,TK2,R6,68.67947,149.62634,44,Bshrub,Mineral,1,10,8.27,1.09,30.66,7124.06,485.9,375.81,101.42,8.67,220.02,7854.07,343.24,0,71.72,230.4,3772.31,,,0,0,46.6,54.81,0.4,0.157752983
NE14,TK3,R1,68.67852,149.6283,50,Bshrub,Mineral,1,10,7.43,1.05,26.28,4901.42,525.56,409.44,114.71,1.41,121.14,0,0,24.81,35.77,127.44,2201.35,,,0,0,0,87.58,2.45,1.667647976
NE14,TK3,R2,68.67852,149.62846,50,Bshrub,Mineral,1,10,7.74,1.44,26.33,7754.71,517.95,425.56,87.58,4.8,139.46,0,0,11.02,93.58,158.78,3172.12,,,0,0,88,29.6,2.23,2.824376088
NE14,TK3,R3,68.67848,149.6286,50,Bshrub,Mineral,1,10,6.76,1.03,33.74,6892.63,635.4,473.37,160.01,2.02,202.23,12278.35,255.37,2.52,61.6,312.33,4753.33,,,0,0,107.79,95.97,2.277,-0.261717399
NE14,TK3,R4,68.67845,149.62885,50,Bshrub,Mineral,1,10,7.49,0.91,31.77,2919.09,317.74,190.59,121.67,5.48,112.93,10335.67,304.61,0,,142.81,4079.24,,,0,0,0,6.04,1.65,1.244725116
NE14,TK3,R5,68.67845,149.62907,50,Bshrub,Mineral,1,10,7.45,0.94,27.97,2282.08,177.02,136.61,38.99,1.42,99.47,4752.95,122.94,0,,170.91,1177.66,,,0,0,24.01,21.97,2.47,3.21319044
Itkillik,TK3,R2,68.67371,149.84415,54,Bshrub,Mineral,1,10,8.15,0.8,53.88,6587.63,480.49,329.29,106.95,44.24,296.93,19404.4,1666.82,462.8,42.17,168.27,3478.81,,,0,,196.93,129.42,,0
Itkillik,TK3,R3,68.6738,149.84398,54,Bshrub,Mineral,1,10,8.17,1.38,23.87,5245.35,297.63,256.43,39.88,1.32,154.41,8140.34,566.71,139.62,66.46,102.13,2384.72,,,0,0,21.44,50.21,-0.57,-0.322549026
Itkillik,TK3,R4,68.6739,149.84392,54,Bshrub,Mineral,1,10,7.62,1.28,30.69,3433.19,293.76,174.15,103.02,16.6,229.21,3427.79,572,61.42,65.1,227.95,3458.95,,,0,0,28.89,65.65,-2.032,0.643555274
Itkillik,TK3,R5,68.67393,149.84375,54,Bshrub,Mineral,1,10,8.56,1.53,27.31,3767.38,303.78,223.3,78.31,2.17,198.16,681.45,527.96,3.01,,118.92,2776.79,,,,0,87.33,75.95,-1.024,
Itkillik,TK3,R6,68.674,149.8436,54,Bshrub,Mineral,1,10,8.31,1.4,24.86,4415.4,299.62,216.71,80.92,1.99,204.44,4682.13,751.75,0,,107.48,2735.67,,,0,,0,38.78,,0
NE14,TK4,R1,68.67715,149.6221,150,Cold,Mineral,1,10,7.18,1.07,15.53,1246.85,106.25,85.64,19.44,1.17,93.06,0,235.8,32.62,,51.51,806.26,,,,0,37.04,34.91,4.84,
NE14,TK4,R2,68.67728,149.62206,150,Cold,Mineral,1,10,7.58,1.15,23.66,1667.83,135.63,85.22,41.3,9.11,99.17,0,69.38,17.73,57.56,127.06,1871.83,,,,0,0,24.82,2.11,
NE14,TK4,R3,68.67738,149.62204,150,Cold,Mineral,1,10,7.48,1.33,23.6,1583.76,90,71.76,14.9,3.34,84.58,4226.09,0,0,77.07,82.22,1227.69,,,,0,0,0.94,-0.27,
NE14,TK4,R4,68.67747,149.62221,150,Cold,Mineral,1,10,7.51,1.49,27.38,1929.57,101.8,77.54,10.93,13.33,106.5,6538.81,61.22,0,69.87,110.41,1365.39,,,,0,153.79,142.81,0.59,
NE14,TK4,R5,68.67751,149.6223,150,Cold,Mineral,1,10,7.27,0.24,58.14,11373.38,628.63,586.48,29.55,12.59,55.19,14226.57,376.33,115.37,,447.77,6887.88,,,,0,62.14,79.54,1.9,
Iminus,TK4,R1,68.55502,149.5761,150,Cold,Mineral,1,10,6.83,1.26,37.61,3557.5,393.59,304.1,76.98,12.51,144.66,23801.25,2343.42,55.12,65.4,247.61,4699.93,,,,0,76.83,127.99,1.985,-0.914561638
Iminus,TK4,R2,68.55511,149.5761,150,Cold,Mineral,1,10,6.79,0.44,45.29,5075.88,553.31,429.81,111.67,11.82,125.61,14012.43,1387.83,58.1,29.59,227.36,4349.3,,,,0,72.42,78.34,7.396,
Iminus,TK4,R3,68.55519,149.57613,150,Cold,Mineral,1,10,6.95,0.39,53.35,14054.57,2045.32,1493.26,543.78,8.28,305.64,21295.02,2084.73,141.92,36.87,385.58,6319.13,,,,44.213,0,0,20.102,2.642391033
Iminus,TK4,R4,68.55527,149.57614,150,Cold,Mineral,1,10,6.33,1.28,,22783.64,3465.43,3089.52,371.87,4.04,791.58,32028.68,3575.01,373.33,,1542.92,25132.26,,,,0,0,20.91,17.816,-4.83391761
Iminus,TK4,R5,68.55539,149.57617,150,Cold,Mineral,1,10,7.1,1.3,37.63,1420.33,66.45,49.68,11.95,4.81,86.09,7094.93,383.14,0,,133.08,1922.84,,,,0,50.48,61.71,0.141,5.715430102
NE14,TK0,R2,68.67948,149.62132,,Dundisturbed,Mineral,1,10,5.65,0.38,74.31,21201.58,1446.51,1379.75,55.94,10.81,109.63,7823.99,136.61,96.59,,675.34,9329.04,,,,0,48.42,99.29,1.22,
NE14,TK0,R3,68.67947,149.6214,,Dundisturbed,Mineral,1,10,7.64,1.11,48.99,4020.13,256.75,231.81,11.59,13.35,145.69,0,56.02,85.98,64.23,85.13,1751.17,,,,0,19.88,78.62,1.51,
NE14,TK0,R4,68.67953,149.62143,,Dundisturbed,Mineral,1,10,5.79,0.85,53.68,9129.85,919.54,849.14,57.3,13.1,58,5613.91,0,35.44,57.26,568.12,7916.52,,,,0,54.06,51.87,-0.03,
NE14,TK0,R5,68.6796,149.62164,,Dundisturbed,Mineral,1,10,6.33,0.76,48.91,8832.14,723.05,610.08,76.22,36.74,82.63,8004.34,338.84,80.33,56.7,406.62,6089.47,,,,0,193.62,175.92,2.1,
NE14,TK0,R6,68.67963,149.62178,,Dundisturbed,Mineral,1,10,7.75,1.45,21.61,1749.78,162.94,131.7,17.77,13.47,26.47,0,0,61.03,,84.21,1125.81,,,,0,104.29,146.8,-0.73,
Itkillik,TK0.2,R1,68.66605,149.81596,,Dundisturbed,Mineral,1,10,7.21,0.55,54.97,8634.78,677.73,623.44,34.66,19.63,207.16,10439.36,774.11,228.34,,601.71,8241.49,,,,,51.72,81.79,-0.096,
Itkillik,TK0.2,R2,68.66606,149.81622,,Dundisturbed,Mineral,1,10,6.67,0.25,71.14,14305.04,1135.19,1026.05,87.15,21.99,204.95,15850.67,996.75,514.96,,533.54,7070.59,,,,0,11.16,11.69,0.45,-1.553814082
Itkillik,TK0.2,R3,68.66606,149.81644,,Dundisturbed,Mineral,1,10,6.94,1,55.16,5701.04,546.09,482.98,60.33,2.78,200.68,15455.47,942.62,118.23,36.83,643.32,7912.39,,,,0,3.26,31.62,-0.105,0.25718734
Itkillik,TK0.2,R4,68.66607,149.81668,,Dundisturbed,Mineral,1,10,7.2,0.93,26.75,17880.66,1265.19,1209.59,55.11,0.5,237.68,3466.87,141.58,339.29,35.31,241.54,2762.56,,,,0,0,8.96,1.189,2.171513347
Itkillik,TK0.2,R5,68.66608,149.81708,,Dundisturbed,Mineral,1,10,7.67,0.79,50,7693.58,564.9,514.65,38.92,11.32,216.69,11793.87,984.73,301.14,53.91,651.81,7954.29,,,,0,35.68,45.86,1.176,-1.559648961
Itkillik,TK0.3,R2,68.67165,149.84486,,Dundisturbed,Mineral,1,10,7.2,0.88,23.98,2496.61,255.36,194.04,57.59,3.74,101.05,8989.31,595.67,150.29,34.46,158.64,2436.23,,,,0,113.6,92.67,1.026,
Itkillik,TK0.3,R3,68.67171,149.84505,,Dundisturbed,Mineral,1,10,6.39,0.94,15.45,1592.46,152.66,145.6,6.93,0.12,204.81,12611.3,642.12,104.72,27.12,81.56,1041.78,,,0,0,73.97,72.24,4.1,-0.914978025
Itkillik,TK0.3,R4,68.6718,149.84528,,Dundisturbed,Mineral,1,10,7.93,1.1,22.26,3995.06,273.16,246.39,25.46,1.31,147.78,5491.3,406.55,74.1,27.6,160.59,2131.98,,,0,0,38.16,38.68,0.36,0.582472085
Itkillik,TK0.3,R5,68.67184,149.84547,,Dundisturbed,Mineral,1,10,6.88,1.13,30.71,5025.4,414.72,388.4,25.71,0.61,202.56,11547.6,1038.17,91.96,,317.47,3941.23,,,29.92976198,,36.18,20.21,0.26,0.823380698
Itkillik,TK0.3,R6,68.67194,149.84567,,Dundisturbed,Mineral,1,10,6.92,0.91,40.35,6940.8,662.5,543.13,90.36,29.01,269.98,19590.58,974.34,305.11,,271.67,3705.8,,,0,0,108.46,62.51,1.34,-1.011139749
Iminus,TK0,R1,68.55293,149.57563,,Dundisturbed,Mineral,1,10,4.52,0.48,56.34,9805.17,1996.87,1903.37,69.1,24.41,221.12,15443.31,1001.48,4.17,26.63,484.42,7318.47,,,,205.51,347.71,426.87,8.63,2.049443675
Iminus,TK0,R2,68.55298,149.57576,,Dundisturbed,Mineral,1,10,4.68,0.59,59.67,18212.08,3581.8,3472.1,88.24,21.46,222.45,0,0,0,27.09,481.45,9039.24,,,,305.26,1381.67,636.89,18.47,
Iminus,TK0,R4,68.55308,149.57607,,Dundisturbed,Mineral,1,10,4.53,0.86,36.24,10024.95,1271.68,1184.43,86.4,0.86,101.58,0,0,0,19.73,326.88,7032.48,,,,238.9,0.09,41.84,21.83,0
Iminus,TK0,R5,68.55322,149.5765,,Dundisturbed,Mineral,1,10,4.54,0.29,61.57,8980.13,1477.92,1259.81,206.41,11.7,72.21,6362.37,633.39,48.21,,485.46,7548.51,,,,,125.47,103.23,8.98,0.228207827
Iminus,TK0,R6,68.5533,149.5767,,Dundisturbed,Mineral,1,10,4.95,0.74,48.48,5463.38,1753.53,1374.19,376.29,3.05,174.09,12426.76,772.72,0,,443.76,10105.8,,,,,0,21.16,,-0.632275815
